OriginState,DestState,AvgFare
Illinois,California,291.7510253
Illinois,Colorado,251.8047226
Illinois,Connecticut,260.6979283
Illinois,Florida,213.3905046
Illinois,Georgia,198.6361647
Illinois,Hawaii,515.5546405
Illinois,Idaho,323.0188116
Illinois,Illinois,280.318984
Illinois,Indiana,296.1562336
Illinois,Iowa,253.9076539
Illinois,Kansas,221.757862
Illinois,Kentucky,256.5637141
Illinois,Louisiana,200.7529003
Illinois,Maine,293.4118286
Illinois,Maryland,197.6619368
Illinois,Massachusetts,220.6757268
Illinois,Michigan,225.474282
Illinois,Minnesota,180.2897559
Illinois,Mississippi,268.5137253
Illinois,Missouri,204.4045219
Illinois,Montana,358.4165992
Illinois,Nebraska,205.6132893
Illinois,Nevada,238.0820959
Illinois,New Hampshire,219.7440135
Illinois,New Jersey,266.9393103
Illinois,New Mexico,266.9199919
Illinois,New York,226.9995259
Illinois,North Carolina,220.3159616
Illinois,North Dakota,290.7771522
Illinois,Ohio,213.6649358
Illinois,Oklahoma,236.5995441
Illinois,Oregon,284.0484542
Illinois,Pennsylvania,227.5166048
Illinois,Puerto Rico,257.1964148
Illinois,Rhode Island,227.6492023
Illinois,South Carolina,205.3085764
Illinois,South Dakota,294.7168229
Illinois,Tennessee,218.3021709
Illinois,Texas,235.725585
Illinois,U.S. Pacific Trust Territories and Possessions,1292.899143
Illinois,U.S. Virgin Islands,343.471392
Illinois,Utah,245.1417367
Illinois,Vermont,301.2471532
Illinois,Virginia,244.4615103
Illinois,Washington,290.3286367
Illinois,West Virginia,303.0430435
Illinois,Wisconsin,320.2214574
Illinois,Wyoming,386.3268193
Indiana,Alabama,298.0349367
Indiana,Alaska,393.6122486
Indiana,Arizona,262.8583756
Indiana,Arkansas,292.5536895
Indiana,California,289.6483258
Indiana,Colorado,231.0951651
Indiana,Connecticut,261.4823576
Indiana,Florida,204.4730298
Indiana,Georgia,214.150182
Indiana,Hawaii,552.3003301
Indiana,Idaho,311.606547
Indiana,Illinois,252.180303
Indiana,Indiana,289.4240541
Indiana,Iowa,252.1388391
Indiana,Kansas,257.3890871
Indiana,Kentucky,297.4558929
Indiana,Louisiana,254.7007517
Indiana,Maine,253.8432732
Indiana,Maryland,208.5839823
Indiana,Massachusetts,254.6446855
Indiana,Michigan,295.7990337
Indiana,Minnesota,292.9384334
Indiana,Mississippi,285.7842788
Indiana,Missouri,215.9594768
Indiana,Montana,333.9514459
Indiana,Nebraska,249.0009443
Indiana,Nevada,251.4470684
Indiana,New Hampshire,263.1560474
Indiana,New Jersey,293.233045
Indiana,New Mexico,267.5567715
Indiana,New York,272.9301043
Indiana,North Carolina,231.4443289
Indiana,North Dakota,286.1736599
Indiana,Ohio,247.0993059
Indiana,Oklahoma,261.9750867
Indiana,Oregon,303.5714132
Indiana,Pennsylvania,260.8976732
Indiana,Puerto Rico,292.2996979
Indiana,Rhode Island,250.31125
Indiana,South Carolina,240.7415481
Indiana,South Dakota,290.7283514
Indiana,Tennessee,266.1754002
Indiana,Texas,249.1817017
Indiana,U.S. Pacific Trust Territories and Possessions,1087.63
Indiana,U.S. Virgin Islands,377.9521938
Indiana,Utah,291.7453173
Indiana,Vermont,303.0995418
Indiana,Virginia,218.9623899
Indiana,Washington,305.0832528
Indiana,West Virginia,366.6357143
Indiana,Wisconsin,262.4510859
Indiana,Wyoming,345.611658
Iowa,Alabama,295.0460387
Iowa,Alaska,394.9552632
Iowa,Arizona,238.6554729
Iowa,Arkansas,276.2432648
Iowa,California,284.8910673
Iowa,Colorado,254.7309708
Iowa,Connecticut,286.5934988
Iowa,Florida,236.8621271
Iowa,Georgia,269.718701
Iowa,Hawaii,523.1155394
Iowa,Idaho,306.0698384
Iowa,Illinois,209.8361322
Iowa,Indiana,256.8446013
Iowa,Iowa,255
Iowa,Kansas,299.5304516
Iowa,Kentucky,290.6353912
Iowa,Louisiana,258.0073882
Iowa,Maine,269.215402
Iowa,Maryland,252.4644978
Iowa,Massachusetts,274.6981362
Iowa,Michigan,281.3128647
Iowa,Minnesota,268.8913362
Iowa,Mississippi,289.9988686
Iowa,Missouri,232.8494918
Iowa,Montana,308.2555838
Iowa,Nebraska,333.53
Iowa,Nevada,215.2410986
Iowa,New Hampshire,292.9159672
